Id,SalePrice
1461,126797.8
1462,156373.69565217392
1463,180255.4347826087
1464,183372.78260869565
1465,200739.9347826087
1466,183781.9
1467,170931.1739130435
1468,174989.81739130436
1469,183729.6652173913
1470,119615.51739130435
1471,198165.1347826087
1472,95049.93913043478
1473,93470.12608695652
1474,153577.40869565218
1475,136552.60869565216
1476,386759.17391304346
1477,263012.7086956522
1478,302421.3391304348
1479,233406.98695652175
1480,441116.35217391304
1481,322056.87391304347
1482,213523.6695652174
1483,172881.64782608696
1484,173727.72608695654
1485,170883.73913043478
1486,203916.21739130435
1487,346059.15652173915
1488,249761.77826086956
1489,215527.98695652175
1490,197436.70434782607
1491,190508.4
1492,107079.35217391304
1493,179983.87826086956
1494,301928.2695652174
1495,311904.2173913043
1496,228499.28260869565
1497,180519.75652173912
1498,151134.64347826087
1499,151123.73913043478
1500,146531.87391304347
1501,174343.46956521738
1502,154035.95652173914
1503,306595.64347826084
1504,237695.52608695652
1505,218386.41304347827
1506,185920.97391304348
1507,218719.8347826087
1508,204098.96956521738
1509,164645.02173913043
1510,151237.11739130435
1511,149811.61304347825
1512,166249.86086956522
1513,153184.00869565218
1514,169431.9956521739
1515,183461.81304347827
1516,162113.50869565218
1517,151753.87826086956
1518,126110.52173913043
1519,230755.57826086957
1520,135098.26086956522
1521,142692.1739130435
1522,166808.26086956522
1523,115404.60434782608
1524,122399.24347826088
1525,121995.04347826086
1526,130198.80434782608
1527,97897.22608695652
1528,133526.74347826088
1529,143485.10869565216
1530,170613.78260869565
1531,125672.05652173913
1532,108184.98260869565
1533,153303.4347826087
1534,122135.94347826087
1535,158660.44347826086
1536,117983.42608695652
1537,79427.76956521739
1538,188686.6
1539,244243.63913043478
1540,110921.76086956522
1541,158306.95217391304
1542,144406.74782608697
1543,225260.1043478261
1544,85307.42173913044
1545,104741.5304347826
1546,121379.13043478261
1547,140542.04347826086
1548,141162.35217391304
1549,112555.12608695652
1550,141250.27826086956
1551,118394.43478260869
1552,148783.22608695654
1553,152502.04782608696
1554,111677.93478260869
1555,170878.58260869567
1556,98047.96086956521
1557,126886.5
1558,94760.3
1559,111214.78695652174
1560,149883.71739130435
1561,153577.4652173913
1562,128045.95217391304
1563,122897.1
1564,162934.87826086956
1565,154269.78695652174
1566,220169.5956521739
1567,79674.71739130435
1568,221037.30434782608
1569,143814.24347826088
1570,126931.92608695652
1571,131040.27391304348
1572,144626.42173913043
1573,248318.50869565218
1574,114557.88695652173
1575,210601.78260869565
1576,210886.86086956522
1577,209502.81304347827
1578,152593.8304347826
1579,141896.73913043478
1580,192537.8260869565
1581,142049.38260869565
1582,128918.23043478261
1583,344679.22173913044
1584,240138.81739130436
1585,140298.48695652175
1586,72600.55217391305
1587,102178.6652173913
1588,151738.58695652173
1589,109806.0
1590,133690.97826086957
1591,107113.05217391305
1592,126613.18695652173
1593,115441.22608695652
1594,134757.86086956522
1595,119722.9695652174
1596,238473.32173913042
1597,163864.84347826088
1598,185582.54782608696
1599,221183.01739130434
1600,196949.39130434784
1601,64797.06956521739
1602,112405.76521739131
1603,99335.16086956521
1604,274501.68695652176
1605,263366.6043478261
1606,169430.4347826087
1607,169590.9347826087
1608,214324.58695652173
1609,204772.24347826088
1610,158995.6347826087
1611,152121.42608695652
1612,151815.8260869565
1613,164848.44347826086
1614,125180.34782608696
1615,84888.88260869565
1616,76566.21304347826
1617,85514.98695652174
1618,128961.6347826087
1619,132471.52173913043
1620,152935.18695652173
1621,140015.51304347825
1622,145312.7695652174
1623,308791.1782608696
1624,210468.97391304348
1625,132734.05652173914
1626,174751.08695652173
1627,189670.60869565216
1628,289077.0347826087
1629,173309.52173913043
1630,352203.16521739133
1631,226468.21739130435
1632,254802.05652173914
1633,165840.96956521738
1634,182744.08695652173
1635,180846.78695652174
1636,160241.35217391304
1637,176065.3
1638,219207.70869565217
1639,183937.26086956522
1640,256464.1347826087
1641,185705.79130434783
1642,215996.9304347826
1643,228536.4
1644,229756.5347826087
1645,176430.47391304348
1646,151183.42173913043
1647,162260.68260869564
1648,141726.0608695652
1649,137777.8260869565
1650,121420.65217391304
1651,122746.75217391305
1652,92326.46086956521
1653,97046.04347826086
1654,154941.04347826086
1655,158099.29565217393
1656,152953.29565217393
